name,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,xG,xA,predicted_points,team_a
rak-sakyi,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
george,4.5,7,1.0,84,0,1,0,0.13,0.26,9.44,
acheampong,4.0,4,0.0,168,0,0,0,0.22,0.01,6.198404761904762,
maresca,1.5,31,4.5,0,0,0,0,0.0,0.0,3.9237786938038095,
amougou,4.5,1,0.0,7,0,0,0,0.0,0.0,3.9237786938038095,
anselmino,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
mheuka,4.5,1,0.0,1,0,0,0,0.06,0.0,0.9825,
samuels-smith,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
genesis antwi,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
nketiah,5.9,35,2.0,698,1,2,2,3.45,0.8,53.88,
chilwell,4.6,2,0.0,49,0,0,0,0.05,0.26,6.12,
ahamada,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
c.doucouré,4.8,19,0.0,443,0,1,1,0.4,0.11,17.91,
c.richards,4.4,53,6.0,1336,0,1,6,0.47,0.1,22.78,
chadi riad,4.3,1,0.0,90,0,0,0,0.0,0.02,9.35128214840715,
clyne,4.3,16,0.0,392,0,0,1,0.01,0.13,12.496,
ebiowei,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
eze,6.7,86,3.0,1925,2,6,8,6.03,3.29,84.94,
guéhi,4.7,101,5.0,2430,3,2,9,1.5,1.18,60.35,
henderson,4.6,106,10.0,2520,0,0,9,0.01,0.02,71.24841208791209,
holding,4.2,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
hughes,4.9,53,0.0,1636,0,4,7,0.88,2.1,55.9,
kamada,5.1,32,1.0,972,0,0,3,0.84,1.01,34.41,
lerma,4.8,38,3.0,1538,0,0,5,0.94,1.33,40.9,
mateta,7.5,123,0.0,2129,12,2,7,11.44,2.13,129.49,
m.frança,4.4,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
matthews,3.9,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
mitchell,4.8,97,6.0,2399,0,4,10,1.23,3.25,84.52,
muñoz,5.1,112,6.0,2344,3,5,9,4.11,2.36,98.02,
ozoh,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
rak-sakyi,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
schlupp,4.6,12,0.0,95,0,0,0,0.17,0.14,12.613333333333337,
ward,4.3,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
wharton,4.7,22,2.0,840,0,0,2,0.25,1.4,22.29,
turner,3.9,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
i.sarr,5.6,113,11.0,1927,7,4,8,7.85,4.88,114.01,
umeh-chibueze,4.4,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
devenny,4.5,22,1.0,311,1,0,0,0.49,0.31,22.38,
agbinone,4.5,2,0.0,4,0,0,0,0.02,0.01,12.368880952380954,
rodney,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
lacroix,4.5,93,6.0,2245,1,2,9,2.61,0.54,73.32,
kporha,4.0,2,0.0,11,0,0,0,0.0,0.02,9.35128214840715,
marsh,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
