id,first_name,second_name,team,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,selected_by_percent
781,Shumaira,Mheuka,6,4.5,1,0.0,1,0,0,0,0.0
698,Divin,Mubama,13,4.5,1,0.0,27,0,0,0,0.1
672,Jahmai,Simpson-Pusey,13,4.0,1,0.0,95,0,0,0,0.0
664,Alfie,Pond,20,3.9,1,0.0,1,0,0,0,0.8
479,Brandon,Austin,18,4.0,1,0.0,90,0,0,0,0.5
771,Mathis,Amougou,6,4.5,1,0.0,7,0,0,0,0.0
649,Jayden,Meghoma,4,4.0,1,0.0,4,0,0,0,0.0
726,Woyo,Coulibaly,11,4.0,1,0.0,107,0,0,0,0.0
460,Ronnie,Edwards,17,3.9,1,0.0,12,0,0,0,0.2
602,Ryan,Trevitt,4,4.4,1,0.0,3,0,0,0,0.0
459,Samuel,Edozie,17,4.9,1,0.0,64,0,0,0,0.0
22,Tomiyasu,Takehiro,1,4.8,1,0.0,6,0,0,0,0.0
670,Harry,Amass,14,4.0,1,0.5,21,0,0,0,0.0
606,Will,Alves,11,4.4,1,0.0,1,0,0,0,0.1
711,Wes,Okoduwa,20,4.0,0,0.0,0,0,0,0,0.0
446,Hwang,Ui-jo,16,4.5,0,0.0,0,0,0,0,0.8
555,Saša,Kalajdžić,20,4.8,0,0.0,0,0,0,0,0.0
478,Ashley,Phillips,18,4.0,0,0.0,0,0,0,0,0.2
556,Tom,King,20,4.0,0,0.0,0,0,0,0,1.3
493,Giovani,Lo Celso,18,4.9,0,0.0,0,0,0,0,0.0
448,Joe,Worrall,16,4.5,0,0.0,0,0,0,0,0.0
490,Pierre-Emile,Højbjerg,18,5.0,0,0.0,0,0,0,0,0.0
682,Tom,Edozie,20,4.5,0,0.0,0,0,0,0,0.0
483,Bryan,Gil Salvatierra,18,5.0,0,0.0,0,0,0,0,0.0
719,Joachim,Kayi-Sanda,17,4.0,0,0.0,0,0,0,0,0.0
693,Joseph,O'Brien-Whitmarsh,17,4.5,0,0.0,0,0,0,0,0.0
487,Emerson,Leite de Souza Junior,18,4.5,0,0.0,0,0,0,0,0.0
637,Bastien,Meupiyou,20,3.9,0,0.0,0,0,0,0,0.2
551,Joe,Hodge,20,4.5,0,0.0,0,0,0,0,0.2
485,Alfie,Devine,18,4.5,0,0.0,0,0,0,0,0.0
552,Ki-Jana,Hoever,20,4.0,0,0.0,0,0,0,0,0.1
522,Wes,Foderingham,19,4.3,0,0.0,0,0,0,0,0.1
706,Zach,Abbott,16,4.0,0,0.0,0,0,0,0,0.0
549,Hugo,Bueno López,20,4.5,0,0.0,0,0,0,0,0.0
529,Nayef,Aguerd,19,4.4,0,0.0,0,0,0,0,0.0
464,Juan,Larios López,17,3.9,0,0.0,0,0,0,0,0.1
519,George,Earthy,19,4.5,0,0.0,0,0,0,0,0.0
532,Kurt,Zouma,19,4.4,0,0.0,0,0,0,0,0.1
465,Mateusz,Lis,17,4.0,0,0.0,0,0,0,0,0.1
760,Dante,Cassanova,18,4.0,0,0.0,0,0,0,0,0.0
468,Sékou,Mara,17,5.0,0,0.0,0,0,0,0,0.0
729,Damola,Ajayi,18,4.5,0,0.0,0,0,0,0,0.0
686,Ezra,Mayers,19,4.0,0,0.0,0,0,0,0,0.0
717,Min-Hyeok,Yang,18,4.5,0,0.0,0,0,0,0,0.0
700,Maeson,King,18,4.0,0,0.0,0,0,0,0,0.0
458,Shea,Charles,17,4.5,0,0.0,0,0,0,0,0.0
534,Boubacar,Traoré,20,4.8,0,0.0,0,0,0,0,0.0
689,Luca,Williams-Barnett,18,4.5,0,0.0,0,0,0,0,0.0
684,Malachi,Hardy,18,4.0,0,0.0,0,0,0,0,0.0
454,Gavin,Bazunu,17,4.3,0,0.0,0,0,0,0,0.1
536,Daniel,Bentley,20,3.9,0,0.0,0,0,0,0,1.6
683,Callum,Olusesi,18,4.5,0,0.0,0,0,0,0,0.0
510,Alfie,Whiteman,18,3.9,0,0.0,0,0,0,0,1.5
507,Alejo,Véliz,18,5.0,0,0.0,0,0,0,0,0.0
538,Tawanda,Chirewa,20,4.5,0,0.0,0,0,0,0,0.0
539,Leon,Chiwome,20,4.5,0,0.0,0,0,0,0,1.3
540,Luke,Cundle,20,4.5,0,0.0,0,0,0,0,0.1
545,Fábio,Silva,20,5.0,0,0.0,0,0,0,0,0.1
441,Jonathan,Panzo,16,4.0,0,0.0,0,0,0,0,0.0
546,Nathan,Fraser,20,4.5,0,0.0,0,0,0,0,1.0
547,Enso,González,20,4.4,0,0.0,0,0,0,0,0.0
502,Manor,Solomon,18,5.4,0,0.0,0,0,0,0,0.0
721,Wayne,Hennessey,16,4.0,0,0.0,0,0,0,0,0.0
1,Fábio,Ferreira Vieira,1,5.4,0,0.0,0,0,0,0,0.0
784,Mateus,Mané,20,4.5,0,0.0,0,0,0,0,0.0
440,Andrew,Omobamidele,16,4.2,0,0.0,0,0,0,0,0.0
685,Jacob,Slater,5,4.0,0,0.0,0,0,0,0,0.0
668,Killian,Cahill,5,3.9,0,0.0,0,0,0,0,1.1
663,Imari,Samuels,5,4.0,0,0.0,0,0,0,0,0.0
615,Carl,Rushworth,5,3.9,0,0.0,0,0,0,0,0.1
601,Andrew,Moran,5,5.0,0,0.0,0,0,0,0,0.0
143,Deniz,Undav,5,5.5,0,0.0,0,0,0,0,0.0
140,Cameron,Peupion,5,4.4,0,0.0,0,0,0,0,0.1
139,Odeluga,Offiah,5,4.0,0,0.0,0,0,0,0,0.1
138,Mark,O’Mahony,5,4.5,0,0.0,0,0,0,0,0.2
133,Adrian,Mazilu,5,4.5,0,0.0,0,0,0,0,0.0
130,Kacper,Kozłowski,5,4.5,0,0.0,0,0,0,0,0.0
127,Ibrahim,Osman,5,5.0,0,0.0,0,0,0,0,0.0
125,Pascal,Groß,5,6.5,0,0.0,0,0,0,0,0.0
119,Mahmoud,Dahoud,5,4.9,0,0.0,0,0,0,0,0.0
118,Amario,Cozier-Duberry,5,4.5,0,0.0,0,0,0,0,0.0
116,Valentín,Barco,5,4.0,0,0.0,0,0,0,0,2.1
114,Benicio,Baker-Boaitey,5,4.5,0,0.0,0,0,0,0,0.0
786,Benjamin,Fredrick,4,4.0,0,0.0,0,0,0,0,0.0
780,Iwan,Morgan,4,4.5,0,0.0,0,0,0,0,0.0
759,Julian,Eyestone,4,4.0,0,0.0,0,0,0,0,0.0
681,Ruairi,McConville,5,4.0,0,0.0,0,0,0,0,0.0
758,Joe,Knight,5,4.5,0,0.0,0,0,0,0,0.0
661,Tony,Yogane,4,4.5,0,0.0,0,0,0,0,0.0
763,Eiran,Cashin,5,4.5,0,0.0,0,0,0,0,0.0
787,Genesis,Antwi,6,4.0,0,0.0,0,0,0,0,0.0
782,Ishé,Samuels-Smith,6,4.0,0,0.0,0,0,0,0,0.0
774,Aaron,Anselmino,6,4.0,0,0.0,0,0,0,0,0.0
695,Samuel,Rak-Sakyi,6,4.5,0,0.0,0,0,0,0,0.0
575,Caleb,Wiley,6,4.0,0,0.0,0,0,0,0,0.0
183,Đorđe,Petrović,6,4.4,0,0.0,0,0,0,0,0.2
176,Malang,Sarr,6,4.5,0,0.0,0,0,0,0,0.0
175,Romelu,Lukaku Bolingoli,6,6.3,0,0.0,0,0,0,0,0.2
