name,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,xG,xA,name
Chelsea,47,3,0.0,71,0,0,0,0.00,0.02,Chelsea
Chelsea,61,7,0.0,145,0,0,0,0.24,0.66,Chelsea
Chelsea,77,108,0.0,1735,9,6,8,10.71,1.65,Chelsea
Chelsea,57,58,2.5,856,3,2,2,4.95,0.98,Chelsea
Chelsea,108,181,0.5,2442,14,8,6,14.76,7.55,Chelsea
Chelsea,44,0,0.0,0,0,0,0,0.00,0.00,Chelsea
Chelsea,44,7,0.0,176,0,0,1,0.16,0.15,Chelsea
Chelsea,45,86,6.0,2070,0,0,5,0.00,0.01,Chelsea
Chelsea,42,50,4.0,1086,1,1,4,0.85,0.17,Chelsea
Chelsea,43,26,3.5,1172,0,0,2,0.44,0.18,Chelsea
Chelsea,62,68,2.5,1424,2,5,4,1.56,2.79,Chelsea
Chelsea,63,69,2.0,1524,3,4,4,2.04,3.03,Chelsea
Chelsea,40,0,0.0,0,0,0,0,0.00,0.00,Chelsea
Chelsea,42,18,0.0,540,0,0,1,0.00,0.00,Chelsea
Chelsea,59,24,0.0,362,1,2,1,2.30,0.45,Chelsea
Chelsea,45,0,0.0,0,0,0,0,0.00,0.00,Chelsea
Chelsea,45,7,1.0,84,0,1,0,0.13,0.26,Chelsea
Chelsea,40,4,0.0,168,0,0,0,0.22,0.01,Chelsea
Chelsea,15,31,4.5,0,0,0,0,0.00,0.00,Chelsea
Chelsea,45,1,0.0,7,0,0,0,0.00,0.00,Chelsea
Chelsea,40,0,0.0,0,0,0,0,0.00,0.00,Chelsea
Chelsea,45,1,0.0,1,0,0,0,0.06,0.00,Chelsea
Chelsea,40,0,0.0,0,0,0,0,0.00,0.00,Chelsea
Chelsea,40,0,0.0,0,0,0,0,0.00,0.00,Chelsea
Crystal Palace,59,35,2.0,698,1,2,2,3.45,0.80,Crystal Palace
Crystal Palace,46,2,0.0,49,0,0,0,0.05,0.26,Crystal Palace
Crystal Palace,45,0,0.0,0,0,0,0,0.00,0.00,Crystal Palace
Crystal Palace,48,19,0.0,443,0,1,1,0.40,0.11,Crystal Palace
Crystal Palace,44,53,6.0,1336,0,1,6,0.47,0.10,Crystal Palace
Crystal Palace,43,1,0.0,90,0,0,0,0.00,0.02,Crystal Palace
Crystal Palace,43,16,0.0,392,0,0,1,0.01,0.13,Crystal Palace
Crystal Palace,45,0,0.0,0,0,0,0,0.00,0.00,Crystal Palace
Crystal Palace,67,86,3.0,1925,2,6,8,6.03,3.29,Crystal Palace
Crystal Palace,47,101,5.0,2430,3,2,9,1.50,1.18,Crystal Palace
Crystal Palace,46,106,10.0,2520,0,0,9,0.01,0.02,Crystal Palace
Crystal Palace,42,0,0.0,0,0,0,0,0.00,0.00,Crystal Palace
Crystal Palace,49,53,0.0,1636,0,4,7,0.88,2.10,Crystal Palace
Crystal Palace,51,32,1.0,972,0,0,3,0.84,1.01,Crystal Palace
Crystal Palace,48,38,3.0,1538,0,0,5,0.94,1.33,Crystal Palace
Crystal Palace,75,123,0.0,2129,12,2,7,11.44,2.13,Crystal Palace
Crystal Palace,44,0,0.0,0,0,0,0,0.00,0.00,Crystal Palace
Crystal Palace,39,0,0.0,0,0,0,0,0.00,0.00,Crystal Palace
Crystal Palace,48,97,6.0,2399,0,4,10,1.23,3.25,Crystal Palace
Crystal Palace,51,112,6.0,2344,3,5,9,4.11,2.36,Crystal Palace
Crystal Palace,45,0,0.0,0,0,0,0,0.00,0.00,Crystal Palace
Crystal Palace,45,0,0.0,0,0,0,0,0.00,0.00,Crystal Palace
Crystal Palace,46,12,0.0,95,0,0,0,0.17,0.14,Crystal Palace
Crystal Palace,43,0,0.0,0,0,0,0,0.00,0.00,Crystal Palace
Crystal Palace,47,22,2.0,840,0,0,2,0.25,1.40,Crystal Palace
Crystal Palace,39,0,0.0,0,0,0,0,0.00,0.00,Crystal Palace
Crystal Palace,56,113,11.0,1927,7,4,8,7.85,4.88,Crystal Palace
Crystal Palace,44,0,0.0,0,0,0,0,0.00,0.00,Crystal Palace
Crystal Palace,45,22,1.0,311,1,0,0,0.49,0.31,Crystal Palace
Crystal Palace,45,2,0.0,4,0,0,0,0.02,0.01,Crystal Palace
Crystal Palace,45,0,0.0,0,0,0,0,0.00,0.00,Crystal Palace
Crystal Palace,45,93,6.0,2245,1,2,9,2.61,0.54,Crystal Palace
Crystal Palace,40,2,0.0,11,0,0,0,0.00,0.02,Crystal Palace
Crystal Palace,45,0,0.0,0,0,0,0,0.00,0.00,Crystal Palace
Crystal Palace,47,9,1.0,8,1,0,0,0.32,0.00,Crystal Palace
Crystal Palace,8,61,9.0,0,0,0,0,0.00,0.00,Crystal Palace
Everton,53,6,0.5,166,0,0,0,0.11,0.09,Everton
Everton,51,67,2.0,1980,2,1,9,3.20,1.08,Everton
Everton,51,62,2.0,920,6,0,2,5.35,0.17,Everton
Everton,48,67,2.0,1806,0,1,7,0.75,0.25,Everton
Everton,54,59,0.0,1571,3,2,8,6.05,0.63,Everton
Everton,43,3,0.0,196,0,0,0,0.62,0.01,Everton
Everton,48,70,4.5,2266,0,3,8,1.05,1.71,Everton
Everton,49,24,2.0,858,0,1,2,0.14,0.97,Everton
Everton,52,58,6.0,1498,1,2,4,3.07,2.32,Everton
Everton,40,1,0.0,5,0,0,0,0.00,0.00,Everton
Everton,43,17,0.5,468,0,1,0,0.23,0.14,Everton
Everton,39,0,0.0,0,0,0,0,0.00,0.00,Everton
Everton,38,33,0.0,812,2,0,2,0.43,0.02,Everton
Everton,49,0,0.0,0,0,0,0,0.00,0.00,Everton
Everton,51,65,0.0,1140,3,5,4,0.87,3.96,Everton
Everton,44,85,2.0,2362,0,2,8,0.39,1.61,Everton
Everton,52,81,0.0,1874,6,0,11,3.58,1.03,Everton
Everton,44,7,0.0,124,0,0,0,0.07,0.30,Everton
Everton,51,116,2.5,2610,0,1,9,0.00,0.18,Everton
Everton,49,95,2.0,2601,1,1,9,1.14,1.96,Everton
Everton,49,0,0.0,11,0,0,0,0.07,0.00,Everton
Everton,44,80,0.5,1551,1,4,7,0.27,1.82,Everton
Everton,49,19,1.0,323,1,1,0,0.97,0.35,Everton
Everton,50,44,3.0,1229,0,1,6,2.15,1.96,Everton
Everton,45,40,6.0,848,2,0,2,0.56,0.26,Everton
Everton,44,2,0.0,47,0,0,0,0.37,0.00,Everton
Everton,45,0,0.0,0,0,0,0,0.00,0.00,Everton
Everton,40,0,0.0,0,0,0,0,0.00,0.00,Everton
Everton,40,0,0.0,90,0,0,0,0.00,0.00,Everton
Everton,50,39,0.0,1257,1,0,5,1.13,0.59,Everton
Everton,45,0,0.0,0,0,0,0,0.00,0.00,Everton
Everton,45,0,0.0,0,0,0,0,0.00,0.00,Everton
Everton,5,66,4.0,0,0,0,0,0.00,0.00,Everton
Everton,45,0,0.0,0,0,0,0,0.00,0.00,Everton
Everton,45,0,0.0,0,0,0,0,0.00,0.00,Everton
Fulham,50,27,0.0,483,1,1,1,1.07,0.96,Fulham
Fulham,51,95,2.5,1722,5,2,7,4.04,1.68,Fulham
Fulham,42,41,3.0,1863,0,0,4,0.45,0.38,Fulham
Fulham,46,73,0.5,1396,2,5,3,3.68,3.96,Fulham
Fulham,49,70,4.0,1570,2,6,5,3.33,3.47,Fulham
Fulham,45,67,3.5,2444,1,0,5,0.99,0.27,Fulham
